game_id,game_name,name_in_vg,estimated_revenue,estimated_units_sold,number_of_reviews,steam_rating
1987030,Heroes of Time,Heroes of Time,374,420,14,0.7859999999999999
821260,LIGHT,Dead by Daylight,237000000,18300000,658204,0.804
1565720,To Save Humanity From Virus,To Save Humanity From Virus,422,150,5,1.0
748490,The Legend of Heroes: Trails of Cold Steel II,The Legend of Heroes: Trails of Cold Steel III,3200000,74,2488,0.92
545000,Aoki Ookami to Shiroki Mejika,Aoki Ookami to Shiroki Mejika,1,126,3,0.667
1623720,BrainTeaser,BrainTeaser,73,120,4,0.5
544220,Damage: Sadistic Butchering of Humanity,Damage: Sadistic Butchering of Humanity,3,1,19,0.263
338190,Just Get Through,Just Get Through,59,18,215,0.865
1375270,Shape,Just Shapes & Beats,3300000,222000,16640,0.978
1874510,Knightlife,Knightlife,288,30,1,0.0
1693780,Orbital Combat,Orbital Combat,1,540,18,0.444
1466930,Survival Quiz CITY,Survival Quiz CITY,87,6,204,0.603
1748070,Storage Chase,Storage Chase,0,0,0,0.0
964920,Space Tycoon | 星际大亨,NULL,NULL,NULL,NULL,NULL
1085570,Fables of Talumos,Fables of Talumos,1,212,8,1.0
1528020,Afterlife VR,Afterlife VR,41,3,131,0.7859999999999999
1796350,R.E.A.C.T,R.E.A.C.T,144,30,1,0.0
1444320,Cat Saves Halloween,Cat Saves Halloween,6,1,34,0.941
906050,Hentai Case Opening,Hentai Case Opening,4,8,265,0.721
351910,Valhalla Hills,Valhalla Hills,2100000,145000,1223,0.547
513480,Geo,Geometry Dash,9300000,3400000,232480,0.934
2010700,Hunter Survivors,Hunter Survivors,2,1,44,0.614
1089830,Monster Energy Supercross - The Official Videogame 3,Monster Energy Supercross - The Official Videogame 3,1000000,33,1110,0.88
403070,Silver Creek Falls: Chapter 2,NULL,NULL,NULL,NULL,NULL
811440,Gripper's Adventure,Gripper's Adventure,620,95,3,0.667
491010,IN-VERT: Definitive Edition,IN-VERT: Definitive Edition,196000,77,82,0.805
681290,Hare,NULL,NULL,NULL,NULL,NULL
1233460,Star Escape,Star Escape,240,60,2,0.5
350530,Airport Firefighters - The Simulation,Airport Firefighters - The Simulation,314000,23,211,0.479
1481840,Frisbros,Frisbros,1,300,10,0.9
